# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.791994422674179077e-01 9.262610971927642822e-02 3.741211891174316406e-01 1.791994422674179077e-01 9.262610971927642822e-02 3.741211891174316406e-01
1.000000000000000000e+03 4.076451063156127930e-02 1.494519645348191261e-03 5.938953906297683716e-02 4.076451063156127930e-02 1.494519645348191261e-03 5.938953906297683716e-02
2.000000000000000000e+03 3.442974016070365906e-02 5.060349940322339535e-04 4.808938503265380859e-02 3.442974016070365906e-02 5.060349940322339535e-04 4.808938503265380859e-02
3.000000000000000000e+03 2.920803055167198181e-02 2.037764061242341995e-04 4.340602830052375793e-02 2.920803055167198181e-02 2.037764061242341995e-04 4.340602830052375793e-02
4.000000000000000000e+03 1.952682994306087494e-02 1.798312732717022300e-04 2.687388099730014801e-02 1.952682994306087494e-02 1.798312732717022300e-04 2.687388099730014801e-02
5.000000000000000000e+03 7.390027865767478943e-03 1.630367769394069910e-04 6.669266615062952042e-03 7.390027865767478943e-03 1.630367769394069910e-04 6.669266615062952042e-03
6.000000000000000000e+03 4.375854507088661194e-03 7.243124855449423194e-05 3.312634769827127457e-03 4.375854507088661194e-03 7.243124855449423194e-05 3.312634769827127457e-03
7.000000000000000000e+03 3.127078758552670479e-03 3.347032179590314627e-05 2.452068962156772614e-03 3.127078758552670479e-03 3.347032179590314627e-05 2.452068962156772614e-03
8.000000000000000000e+03 2.275722799822688103e-03 1.693043122941162437e-05 1.894886489026248455e-03 2.275722799822688103e-03 1.693043122941162437e-05 1.894886489026248455e-03
9.000000000000000000e+03 1.709149568341672421e-03 1.220930880663217977e-05 1.450957613997161388e-03 1.709149568341672421e-03 1.220930880663217977e-05 1.450957613997161388e-03
1.000000000000000000e+04 1.383126829750835896e-03 7.913971785455942154e-06 1.158438972197473049e-03 1.383126829750835896e-03 7.913971785455942154e-06 1.158438972197473049e-03
1.100000000000000000e+04 1.169899944216012955e-03 6.094597665651235729e-06 9.573045535944402218e-04 1.169899944216012955e-03 6.094597665651235729e-06 9.573045535944402218e-04
1.200000000000000000e+04 1.022657612338662148e-03 4.898789029539329931e-06 8.416915661655366421e-04 1.022657612338662148e-03 4.898789029539329931e-06 8.416915661655366421e-04
1.300000000000000000e+04 9.229133138433098793e-04 4.178089056949829683e-06 7.665091543458402157e-04 9.229133138433098793e-04 4.178089056949829683e-06 7.665091543458402157e-04
1.400000000000000000e+04 8.460090029984712601e-04 4.101302238268544897e-06 7.161148823797702789e-04 8.460090029984712601e-04 4.101302238268544897e-06 7.161148823797702789e-04
1.500000000000000000e+04 7.857602322474122047e-04 3.840799308818532154e-06 6.767709855921566486e-04 7.857602322474122047e-04 3.840799308818532154e-06 6.767709855921566486e-04
1.500000000000000000e+04 7.857602322474122047e-04 3.840799308818532154e-06 6.767709855921566486e-04 7.857602322474122047e-04 3.840799308818532154e-06 6.767709855921566486e-04
1.600000000000000000e+04 2.283572539454326034e-04 8.064702683441282716e-07 1.882624201243743300e-04 2.283572539454326034e-04 8.064702683441282716e-07 1.882624201243743300e-04
1.700000000000000000e+04 1.281454606214538217e-04 3.494182010399526916e-07 1.035467357723973691e-04 1.281454606214538217e-04 3.494182010399526916e-07 1.035467357723973691e-04
1.800000000000000000e+04 7.716294931014999747e-05 4.876256980423931964e-07 5.267785672913305461e-05 7.716294931014999747e-05 4.876256980423931964e-07 5.267785672913305461e-05
1.900000000000000000e+04 4.258430635672993958e-05 1.206944233445028658e-07 2.719714211707469076e-05 4.258430635672993958e-05 1.206944233445028658e-07 2.719714211707469076e-05
2.000000000000000000e+04 2.771495564957149327e-05 1.540066421057417756e-07 6.971070433792192489e-06 2.771495564957149327e-05 1.540066421057417756e-07 6.971070433792192489e-06
2.100000000000000000e+04 1.565975799167063087e-05 7.575431482109706849e-08 1.721756802908203099e-06 1.565975799167063087e-05 7.575431482109706849e-08 1.721756802908203099e-06
2.200000000000000000e+04 1.001009059109492227e-05 4.652391183412873943e-08 8.216420042117533740e-07 1.001009059109492227e-05 4.652391183412873943e-08 8.216420042117533740e-07
2.300000000000000000e+04 6.270389803830767050e-06 4.001061526537341706e-08 4.956120278620801400e-07 6.270389803830767050e-06 4.001061526537341706e-08 4.956120278620801400e-07
2.377400000000000000e+04 4.772192824020748958e-06 2.703386670077634335e-08 1.748034037518664263e-07 4.772192824020748958e-06 2.703386670077634335e-08 1.748034037518664263e-07
